formation_spe;formation_1;formation_cat
Autres formations;XXX;Autres
BTS Agricole;BTS - Agricole;Filières courtes
BTS Production;BTS - Production;Filières courtes
BTS Service;BTS - Services;Filières courtes
BUT Production;BUT - Production;Filières courtes
BUT Service;BUT - Service;Filières courtes
CPGE ECG;Classe préparatoire économique et commerciale;Eco
CPGE L;Classe préparatoire littéraire;Littéraire
CPGE S;Classe préparatoire scientifique;Scientifique
CUPGE;CUPGE;Autres
D.E  social;D.E secteur social;Autres
D.E sanitaire;D.E secteur sanitaire;Scientifique
DCG;DCG;Autres
DEUST;DEUST;Filières courtes
Ecoles de Commerce;Formation des écoles de commerce et de management;Eco
Ecoles d'ingénieurs;Formations  des écoles d'ingénieurs;Scientifique
Formations d'ART;Formations d'ART;Littéraire
Formations des écoles nationales vétérinaires;Formations des écoles vétérinaires;Scientifique
Licence AES;Licence - Droit-économie-gestion;Eco
Licence Archéologie, Ethno, Préhistoire, Anthropologie;Licence - Sciences humaines et sociales;Littéraire
Licence Arts;Licence - Arts-lettres-langues;Littéraire
Licence Chimie;Licence - Sciences - technologies - santé;Scientifique
Licence Electronique, Génie électrique, EEA;Licence - Sciences - technologies - santé;Scientifique
Licence Formation générale aux métiers de l ingénieur;Licence - Sciences - technologies - santé;Scientifique
Licence Génie civil;Licence - Sciences - technologies - santé;Scientifique
Licence Géographie;Licence - Sciences humaines et sociales;Littéraire
Licence Histoire;Licence - Sciences humaines et sociales;Littéraire
Licence Informatique;Licence - Sciences - technologies - santé;Scientifique
Licence L.AS;Licence - Sciences - technologies - santé;Scientifique
Licence Langues et littératures étrangères;Licence - Arts-lettres-langues;Littéraire
Licence Langues et littératures françaises;Licence - Arts-lettres-langues;Littéraire
Licence LEA;Licence - Arts-lettres-langues;Littéraire
Licence MASS;Licence - Sciences - technologies - santé;Scientifique
Licence Mathématiques;Licence - Sciences - technologies - santé;Scientifique
Licence Mathématiques et informatique;Licence - Sciences - technologies - santé;Scientifique
Licence Mécanique, Génie mécanique, Ingénierie mécanique;Licence - Sciences - technologies - santé;Scientifique
Licence Philosophie, Epistémologie;Licence - Sciences humaines et sociales;Littéraire
Licence Physique;Licence - Sciences - technologies - santé;Scientifique
Licence Physique et chimie;Licence - Sciences - technologies - santé;Scientifique
Licence Pluri Droit - Sciences éco - AES;Licence - Droit-économie-gestion;Eco
Licence Pluri Langues;Licence - Arts-lettres-langues;Littéraire
Licence Pluri Lettres - Langues - Sciences humaines;Licence - Arts-lettres-langues / Sciences humaines et sociales;Littéraire
Licence Pluri Lettres - Sciences du langage - Arts;Licence - Arts-lettres-langues / Sciences humaines et sociales;Littéraire
Licence Pluri Sciences;Licence - Sciences - technologies - santé;Scientifique
Licence Pluri Sciences de la vie, de la santé, de la terre et de l univers;Licence - Sciences - technologies - santé;Scientifique
Licence Pluri Sciences économiques - Gestion;Licence - Droit-économie-gestion;Eco
Licence Pluri Sciences fondamentales et applications;Licence - Sciences - technologies - santé;Scientifique
Licence Pluri Sciences humaines et sociales;Licence - Sciences humaines et sociales;Littéraire
Licence Psychlogie, Sciences cognitives;Licence - Sciences humaines et sociales;Littéraire
Licence Sciences de gestion;Licence - Droit-économie-gestion;Eco
Licence Sciences de l éducation;Licence - Sciences humaines et sociales;Littéraire
Licence Sciences de l information et de la communication;Licence - Sciences humaines et sociales;Littéraire
Licence Sciences de l univers, de la terre, de l espace;Licence - Sciences - technologies - santé;Scientifique
Licence Sciences de la vie, biologie, santé;Licence - Sciences - technologies - santé;Scientifique
Licence Sciences du langage - Linguistique;Licence - Sciences humaines et sociales;Littéraire
Licence Sciences économiques;Licence - Sciences humaines et sociales;Eco
Licence Sciences et technologies industrielles;Licence - Sciences - technologies - santé;Scientifique
Licence Sciences juridiques;Licence - Droit-économie-gestion;Littéraire
Licence Sciences politiques;Licence - Droit-économie-gestion;Littéraire
Licence Sciences religieuses;Licence - Sciences humaines et sociales;Littéraire
Licence Sociologie, Démographie;Licence - Sciences humaines et sociales;Littéraire
Licence STAPS;Licence - STAPS;Autres
PASS;Licence - Sciences - technologies - santé;Scientifique
Sciences po;Sciences politiques;Littéraire
